estabelecimento_codigo_ibge_municipio,paciente_grupo,n,uf
2111300,Pessoas de 60 anos ou mais institucionalizadas,688,MA
2111300,Povos Indígenas,2,MA
2111300,Trabalhadores da Educação,27,MA
2111300,Trabalhadores de Saúde,31077,MA
2111300,Trabalhadores Industriais,2,MA
2111409,Comorbidades,4,MA
2111409,Trabalhadores de Saúde,173,MA
2111508,Comorbidades,9,MA
2111508,Trabalhadores de Saúde,253,MA
2111532,Trabalhadores de Saúde,113,MA
2111573,Faixa Etária,15,MA
2111573,Trabalhadores de Saúde,54,MA
2111607,Trabalhadores de Saúde,14,MA
2111631,Comorbidades,5,MA
2111631,Faixa Etária,3,MA
2111631,Trabalhadores de Saúde,58,MA
2111672,Trabalhadores de Saúde,47,MA
2111706,Trabalhadores de Saúde,123,MA
2111722,Povos e Comunidades Tradicionais,2,MA
2111722,Trabalhadores de Saúde,35,MA
2111763,Comorbidades,2,MA
2111763,Pessoas com Deficiência,1,MA
2111763,Pessoas de 60 anos ou mais institucionalizadas,8,MA
2111763,Trabalhadores de Saúde,182,MA
2111805,Comorbidades,12,MA
2111805,Povos Indígenas,19,MA
2111805,Trabalhadores de Saúde,138,MA
2111904,Trabalhadores de Saúde,76,MA
2111953,Faixa Etária,1,MA
2111953,Trabalhadores de Saúde,50,MA
2112001,Trabalhadores de Saúde,66,MA
2112100,Trabalhadores de Saúde,328,MA
2112209,Comorbidades,29,MA
2112209,Faixa Etária,72,MA
2112209,Pessoas de 60 anos ou mais institucionalizadas,19,MA
2112209,Trabalhadores da Educação,1,MA
2112209,Trabalhadores de Saúde,1581,MA
2112233,Comorbidades,1,MA
2112233,Faixa Etária,2,MA
2112233,Trabalhadores de Saúde,203,MA
2112274,Trabalhadores de Saúde,28,MA
2112308,Trabalhadores de Saúde,50,MA
2112407,Comorbidades,2,MA
2112407,Faixa Etária,72,MA
2112407,Trabalhadores de Saúde,194,MA
2112456,Pessoas de 60 anos ou mais institucionalizadas,100,MA
2112456,Trabalhadores de Saúde,114,MA
2112506,Pessoas de 60 anos ou mais institucionalizadas,1,MA
2112506,Trabalhadores de Saúde,273,MA
2112605,Comorbidades,15,MA
2112605,Faixa Etária,12,MA
2112605,Trabalhadores de Saúde,205,MA
2112704,Faixa Etária,222,MA
2112704,Trabalhadores de Saúde,301,MA
2112803,Comorbidades,6,MA
2112803,Trabalhadores de Saúde,500,MA
2112852,Comorbidades,5,MA
2112852,Trabalhadores de Saúde,156,MA
2112902,Pessoas de 60 anos ou mais institucionalizadas,17,MA
2112902,Trabalhadores de Saúde,181,MA
2113009,Trabalhadores de Saúde,47,MA
2114007,Comorbidades,9,MA
2114007,Faixa Etária,12,MA
2114007,Povos Indígenas,221,MA
2114007,Trabalhadores de Saúde,428,MA
2200053,Trabalhadores de Saúde,62,PI
2200103,Trabalhadores de Saúde,70,PI
2200202,Faixa Etária,23,PI
2200202,Trabalhadores de Saúde,354,PI
2200251,Faixa Etária,8,PI
2200251,Trabalhadores de Saúde,88,PI
2200277,Trabalhadores de Saúde,53,PI
2200301,Faixa Etária,31,PI
2200301,Trabalhadores de Saúde,142,PI
2200400,Trabalhadores de Saúde,275,PI
2200459,Trabalhadores de Saúde,39,PI
2200509,Faixa Etária,69,PI
2200509,Pessoas de 60 anos ou mais institucionalizadas,1,PI
2200509,Trabalhadores de Saúde,193,PI
2200608,Faixa Etária,2,PI
2200608,Trabalhadores de Saúde,78,PI
2200707,Trabalhadores de Saúde,78,PI
2200806,Trabalhadores de Saúde,44,PI
2200905,Trabalhadores de Saúde,74,PI
2200954,Trabalhadores de Saúde,42,PI
2201002,Trabalhadores de Saúde,83,PI
2201051,Faixa Etária,22,PI
2201051,Trabalhadores de Saúde,86,PI
2201101,Pessoas de 60 anos ou mais institucionalizadas,10,PI
2201101,Trabalhadores de Saúde,97,PI
2201150,Trabalhadores de Saúde,55,PI
2201176,Trabalhadores de Saúde,48,PI
2201200,Trabalhadores de Saúde,455,PI
2201309,Pessoas de 60 anos ou mais institucionalizadas,1,PI
2201309,Trabalhadores da Educação,1,PI
2201309,Trabalhadores de Saúde,27,PI
2201408,Trabalhadores de Saúde,64,PI
2201507,Trabalhadores de Saúde,91,PI
2201556,Trabalhadores de Saúde,45,PI
2201572,Trabalhadores de Saúde,23,PI
2201606,Trabalhadores de Saúde,91,PI
2201705,Faixa Etária,20,PI
2201705,Trabalhadores de Saúde,80,PI
2201739,Pessoas de 60 anos ou mais institucionalizadas,2,PI
2201739,Trabalhadores de Saúde,79,PI
2201770,Faixa Etária,15,PI
2201770,Trabalhadores de Saúde,76,PI
2201804,Trabalhadores de Saúde,82,PI
2201903,Trabalhadores de Saúde,442,PI
2201919,Trabalhadores de Saúde,54,PI
2201929,Trabalhadores de Saúde,57,PI
2201945,Trabalhadores de Saúde,71,PI
2201960,Trabalhadores de Saúde,80,PI
2201988,Trabalhadores de Saúde,21,PI
2202000,Faixa Etária,3,PI
2202000,Trabalhadores de Saúde,202,PI
2202026,Trabalhadores de Saúde,84,PI
2202059,Trabalhadores de Saúde,63,PI
2202075,Trabalhadores de Saúde,52,PI
2202083,Trabalhadores de Saúde,72,PI
2202091,Trabalhadores de Saúde,45,PI
2202109,Trabalhadores de Saúde,46,PI
2202117,Faixa Etária,8,PI
2202117,Trabalhadores de Saúde,67,PI
2202133,Trabalhadores de Saúde,47,PI
2202174,Trabalhadores de Saúde,72,PI
2202208,Comorbidades,1,PI
2202208,Faixa Etária,24,PI
2202208,Pessoas de 60 anos ou mais institucionalizadas,57,PI
2202208,Trabalhadores de Saúde,982,PI
2202251,Trabalhadores de Saúde,56,PI
2202307,Trabalhadores de Saúde,147,PI
2202406,Trabalhadores de Saúde,149,PI
2202455,Faixa Etária,10,PI
2202455,Trabalhadores de Saúde,52,PI
2202505,Trabalhadores de Saúde,52,PI
2202539,Trabalhadores de Saúde,53,PI
2202554,Trabalhadores de Saúde,51,PI
2202604,Trabalhadores de Saúde,155,PI
2202653,Trabalhadores de Saúde,53,PI
2202703,Trabalhadores de Saúde,174,PI
2202711,Faixa Etária,9,PI
2202711,Trabalhadores de Saúde,75,PI
2202729,Faixa Etária,42,PI
2202729,Trabalhadores de Saúde,74,PI
2202737,Faixa Etária,6,PI
2202737,Pessoas de 60 anos ou mais institucionalizadas,8,PI
2202737,Trabalhadores de Saúde,78,PI
2202778,Trabalhadores de Saúde,94,PI
2202802,Faixa Etária,23,PI
2202802,Pessoas de 60 anos ou mais institucionalizadas,1,PI
2202802,Trabalhadores de Saúde,59,PI
2202851,Trabalhadores de Saúde,44,PI
2202901,Faixa Etária,24,PI
2202901,Trabalhadores de Saúde,249,PI
2203008,Comorbidades,1,PI
2203008,Faixa Etária,11,PI
2203008,Pessoas de 60 anos ou mais institucionalizadas,1,PI
2203008,Trabalhadores de Saúde,25,PI
2203107,Trabalhadores de Saúde,162,PI
2203206,Trabalhadores de Saúde,219,PI
2203230,Trabalhadores de Saúde,47,PI
2203255,Trabalhadores de Saúde,30,PI
2203271,Trabalhadores de Saúde,47,PI
2203305,Trabalhadores de Saúde,158,PI
2203354,Trabalhadores de Saúde,74,PI
2203404,Faixa Etária,18,PI
2203404,Trabalhadores de Saúde,102,PI
2203420,Faixa Etária,1,PI
2203420,Trabalhadores de Saúde,51,PI
2203453,Faixa Etária,8,PI
2203453,Trabalhadores de Saúde,78,PI
2203503,Trabalhadores de Saúde,170,PI
2203602,Pessoas de 60 anos ou mais institucionalizadas,5,PI
2203602,Trabalhadores de Saúde,71,PI
2203701,Trabalhadores de Saúde,2,PI
2203750,Trabalhadores de Saúde,45,PI
2203800,Trabalhadores de Saúde,31,PI
2203909,Faixa Etária,22,PI
2203909,Trabalhadores de Saúde,214,PI
2204006,Faixa Etária,5,PI
2204006,Trabalhadores de Saúde,71,PI
2204105,Faixa Etária,6,PI
2204105,Trabalhadores de Saúde,65,PI
2204154,Trabalhadores de Saúde,33,PI
2204204,Faixa Etária,7,PI
2204204,Trabalhadores de Saúde,95,PI
2204303,Trabalhadores de Saúde,150,PI
2204352,Trabalhadores de Saúde,25,PI
2204402,Trabalhadores de Saúde,136,PI
2204501,Faixa Etária,7,PI
2204501,Trabalhadores de Saúde,148,PI
2204550,Trabalhadores de Saúde,49,PI
2204659,Faixa Etária,9,PI
2204659,Trabalhadores de Saúde,82,PI
2204709,Trabalhadores de Saúde,158,PI
2204808,Trabalhadores de Saúde,140,PI
2204907,Trabalhadores de Saúde,77,PI
2205003,Trabalhadores de Saúde,96,PI
2205102,Trabalhadores de Saúde,6,PI
2205151,Trabalhadores de Saúde,57,PI
2205201,Faixa Etária,69,PI
2205201,Trabalhadores de Saúde,208,PI
2205250,Trabalhadores de Saúde,33,PI
2205276,Trabalhadores de Saúde,33,PI
2205300,Trabalhadores de Saúde,51,PI
2205359,Trabalhadores de Saúde,40,PI
2205409,Trabalhadores de Saúde,123,PI
2205458,Trabalhadores de Saúde,50,PI
2205508,Faixa Etária,61,PI
2205508,Pessoas de 60 anos ou mais institucionalizadas,48,PI
2205508,Trabalhadores de Saúde,314,PI
2205524,Trabalhadores de Saúde,81,PI
2205532,Faixa Etária,20,PI
2205532,Trabalhadores de Saúde,62,PI
2205540,Faixa Etária,13,PI
2205540,Trabalhadores de Saúde,36,PI
2205557,Trabalhadores de Saúde,77,PI
2205565,Faixa Etária,18,PI
2205565,Trabalhadores de Saúde,65,PI
2205573,Trabalhadores de Saúde,58,PI
2205581,Trabalhadores de Saúde,53,PI
2205599,Trabalhadores de Saúde,28,PI
2205607,Trabalhadores de Saúde,73,PI
2205706,Trabalhadores de Saúde,165,PI
2205805,Trabalhadores de Saúde,233,PI
2205854,Trabalhadores de Saúde,65,PI
2205904,Faixa Etária,6,PI
2205904,Trabalhadores de Saúde,74,PI
2206001,Trabalhadores de Saúde,47,PI
2206050,Faixa Etária,14,PI
2206050,Trabalhadores de Saúde,75,PI
2206100,Trabalhadores de Saúde,73,PI
2206209,Trabalhadores de Saúde,164,PI
2206308,Faixa Etária,4,PI
2206308,Trabalhadores de Saúde,41,PI
2206357,Trabalhadores de Saúde,26,PI
2206407,Faixa Etária,9,PI
2206407,Trabalhadores de Saúde,96,PI
2206506,Trabalhadores de Saúde,108,PI
2206605,Trabalhadores de Saúde,98,PI
2206654,Trabalhadores de Saúde,28,PI
2206670,Trabalhadores de Saúde,54,PI
2206696,Faixa Etária,1,PI
2206696,Trabalhadores de Saúde,51,PI
2206704,Trabalhadores de Saúde,84,PI
2206720,Trabalhadores de Saúde,1,PI
2206753,Trabalhadores de Saúde,57,PI
2206803,Trabalhadores de Saúde,62,PI
2206902,Trabalhadores de Saúde,78,PI
2206951,Pessoas de 60 anos ou mais institucionalizadas,6,PI
2206951,Trabalhadores de Saúde,49,PI
2207009,Faixa Etária,39,PI
2207009,Trabalhadores de Saúde,694,PI
2207108,Trabalhadores de Saúde,47,PI
2207207,Trabalhadores de Saúde,77,PI
2207306,Trabalhadores de Saúde,47,PI
2207355,Trabalhadores de Saúde,40,PI
2207405,Faixa Etária,5,PI
2207405,Trabalhadores de Saúde,61,PI
2207553,Trabalhadores de Saúde,19,PI
2207603,Pessoas de 60 anos ou mais institucionalizadas,4,PI
2207603,Trabalhadores de Saúde,133,PI
2207702,Pessoas de 60 anos ou mais institucionalizadas,40,PI
2207702,Trabalhadores de Saúde,1698,PI
2207751,Trabalhadores de Saúde,41,PI
2207777,Trabalhadores de Saúde,85,PI
2207793,Trabalhadores de Saúde,53,PI
2207801,Faixa Etária,36,PI
2207801,Trabalhadores de Saúde,285,PI
2207850,Faixa Etária,11,PI
2207850,Trabalhadores de Saúde,47,PI
2207900,Trabalhadores de Saúde,229,PI
2207934,Faixa Etária,4,PI
2207934,Trabalhadores de Saúde,26,PI
2207959,Trabalhadores de Saúde,49,PI
2208007,Faixa Etária,53,PI
2208007,Pessoas de 60 anos ou mais institucionalizadas,40,PI
2208007,Trabalhadores de Saúde,1757,PI
2208106,Trabalhadores de Saúde,114,PI
2208205,Trabalhadores de Saúde,106,PI
2208304,Trabalhadores de Saúde,205,PI
2208403,Trabalhadores de Saúde,524,PI
2208502,Trabalhadores de Saúde,122,PI
2208551,Trabalhadores de Saúde,41,PI
2208601,Trabalhadores de Saúde,69,PI
2208650,Trabalhadores de Saúde,61,PI
2208700,Trabalhadores de Saúde,77,PI
2208809,Faixa Etária,2,PI
2208809,Trabalhadores de Saúde,131,PI
2208858,Faixa Etária,7,PI
2208858,Trabalhadores de Saúde,21,PI
2208874,Trabalhadores de Saúde,19,PI
2208908,Trabalhadores de Saúde,34,PI
2209005,Trabalhadores de Saúde,79,PI
2209104,Faixa Etária,13,PI
2209104,Trabalhadores de Saúde,92,PI
2209153,Trabalhadores de Saúde,36,PI
2209203,Trabalhadores de Saúde,59,PI
2209302,Faixa Etária,7,PI
2209302,Trabalhadores de Saúde,52,PI
2209351,Trabalhadores de Saúde,51,PI
2209377,Faixa Etária,17,PI
2209377,Trabalhadores de Saúde,48,PI
2209401,Faixa Etária,21,PI
2209401,Trabalhadores de Saúde,124,PI
2209450,Faixa Etária,29,PI
2209450,Trabalhadores de Saúde,30,PI
2209559,Faixa Etária,18,PI
2209559,Trabalhadores de Saúde,48,PI
2209609,Trabalhadores de Saúde,74,PI
2209658,Faixa Etária,2,PI
2209658,Trabalhadores de Saúde,59,PI
2209708,Trabalhadores da Educação,1,PI
2209708,Trabalhadores de Saúde,73,PI
2209757,Trabalhadores de Saúde,20,PI
2209807,Trabalhadores de Saúde,26,PI
2209856,Trabalhadores de Saúde,45,PI
2209872,Trabalhadores de Saúde,24,PI
2209955,Faixa Etária,13,PI
2209955,Trabalhadores de Saúde,39,PI
2209971,Trabalhadores de Saúde,67,PI
2210003,Trabalhadores de Saúde,214,PI
2210052,Trabalhadores de Saúde,67,PI
2210102,Trabalhadores de Saúde,49,PI
2210201,Trabalhadores de Saúde,89,PI
2210300,Faixa Etária,14,PI
2210300,Pessoas de 60 anos ou mais institucionalizadas,4,PI
2210300,Trabalhadores de Saúde,74,PI
2210359,Trabalhadores de Saúde,42,PI
2210375,Trabalhadores de Saúde,35,PI
2210383,Trabalhadores de Saúde,37,PI
2210391,Trabalhadores de Saúde,30,PI
2210409,Trabalhadores de Saúde,167,PI
2210508,Trabalhadores de Saúde,66,PI
2210607,Trabalhadores de Saúde,508,PI
2210623,Trabalhadores de Saúde,22,PI
2210631,Trabalhadores de Saúde,54,PI
2210656,Trabalhadores de Saúde,42,PI
2210706,Faixa Etária,6,PI
2210706,Trabalhadores de Saúde,183,PI
2210805,Trabalhadores de Saúde,243,PI
2210904,Trabalhadores de Saúde,83,PI
2210938,Trabalhadores de Saúde,63,PI
2210953,Trabalhadores de Saúde,37,PI
2210979,Trabalhadores de Saúde,45,PI
2211001,Comorbidades,1,PI
2211001,Faixa Etária,976,PI
2211001,Forças de Segurança e Salvamento,1,PI
2211001,Pessoas com Deficiência,6,PI
2211001,Pessoas de 60 anos ou mais institucionalizadas,263,PI
2211001,Trabalhadores de Saúde,8693,PI
2211100,Pessoas de 60 anos ou mais institucionalizadas,4,PI
2211100,Trabalhadores de Saúde,370,PI
2211209,Trabalhadores de Saúde,183,PI
2211308,Faixa Etária,43,PI
2211308,Pessoas de 60 anos ou mais institucionalizadas,15,PI
2211308,Trabalhadores de Saúde,289,PI
2211357,Trabalhadores de Saúde,24,PI
2211407,Trabalhadores de Saúde,53,PI
2211506,Trabalhadores de Saúde,16,PI
2211605,Trabalhadores de Saúde,43,PI
2211704,Faixa Etária,18,PI
2211704,Trabalhadores de Saúde,46,PI
2300101,Trabalhadores de Saúde,9,CE
2300150,Faixa Etária,91,CE
2300150,Trabalhadores de Saúde,80,CE
2300200,Faixa Etária,350,CE
2300200,Povos Indígenas,1,CE
2300200,Trabalhadores de Saúde,303,CE
2300309,Faixa Etária,282,CE
2300309,Pessoas de 60 anos ou mais institucionalizadas,11,CE
2300309,Trabalhadores de Saúde,422,CE
2300408,Trabalhadores de Saúde,85,CE
2300507,Faixa Etária,55,CE
2300606,Faixa Etária,72,CE
2300606,Trabalhadores de Saúde,81,CE
2300705,Faixa Etária,110,CE
2300705,Pessoas de 60 anos ou mais institucionalizadas,10,CE
2300705,Trabalhadores de Saúde,203,CE
2300903,Comorbidades,2,CE
2300903,Faixa Etária,95,CE
2300903,Pessoas de 60 anos ou mais institucionalizadas,2,CE
2300903,Trabalhadores de Saúde,31,CE
2301000,Faixa Etária,23,CE
2301000,Pessoas de 60 anos ou mais institucionalizadas,10,CE
2301000,Povos Indígenas,250,CE
2301000,Trabalhadores de Saúde,86,CE
2301109,Faixa Etária,555,CE
2301109,Pessoas de 60 anos ou mais institucionalizadas,1,CE
2301109,Trabalhadores de Saúde,725,CE
2301208,Trabalhadores de Saúde,18,CE
2301257,Faixa Etária,109,CE
2301257,Trabalhadores de Saúde,110,CE
2301307,Comorbidades,1,CE
2301307,Faixa Etária,41,CE
2301307,Trabalhadores de Saúde,48,CE
2301406,Faixa Etária,97,CE
2301406,Pessoas de 60 anos ou mais institucionalizadas,7,CE
2301406,Povos Indígenas,528,CE
2301406,Trabalhadores de Saúde,119,CE
2301505,Trabalhadores de Saúde,73,CE
2301604,Trabalhadores de Saúde,140,CE
2301703,Faixa Etária,95,CE
2301703,Trabalhadores de Saúde,88,CE
2301802,Trabalhadores de Saúde,58,CE
2301851,Faixa Etária,118,CE
2301851,Trabalhadores de Saúde,207,CE
2301901,Faixa Etária,62,CE
2301901,Trabalhadores de Saúde,339,CE
2301950,Comorbidades,1,CE
2301950,Faixa Etária,42,CE
2301950,Trabalhadores de Saúde,119,CE
2302008,Faixa Etária,134,CE
2302008,Pessoas de 60 anos ou mais institucionalizadas,108,CE
2302008,Trabalhadores de Saúde,222,CE
2302057,Comorbidades,5,CE
2302057,Faixa Etária,106,CE
2302057,Trabalhadores de Saúde,99,CE
2302107,Faixa Etária,267,CE
2302107,Trabalhadores de Saúde,345,CE
2302206,Trabalhadores de Saúde,13,CE
2302305,Faixa Etária,113,CE
2302305,Trabalhadores de Saúde,100,CE
2302404,Comorbidades,1,CE
2302404,Faixa Etária,397,CE
2302404,Pessoas de 60 anos ou mais institucionalizadas,88,CE
2302404,Povos Indígenas,210,CE
2302404,Trabalhadores de Saúde,381,CE
2302503,Faixa Etária,164,CE
2302503,Trabalhadores de Saúde,415,CE
2302602,Trabalhadores de Saúde,135,CE
2302701,Faixa Etária,238,CE
2302701,Pessoas de 60 anos ou mais institucionalizadas,2,CE
2302701,Trabalhadores de Saúde,224,CE
2302800,Faixa Etária,240,CE
2302800,Pessoas de 60 anos ou mais institucionalizadas,51,CE
2302800,Povos Indígenas,50,CE
2302800,Trabalhadores de Saúde,667,CE
2303006,Faixa Etária,65,CE
2303006,Trabalhadores de Saúde,134,CE
2303105,Faixa Etária,164,CE
2303105,Pessoas de 60 anos ou mais institucionalizadas,1,CE
2303105,Trabalhadores de Saúde,193,CE
2303204,Faixa Etária,90,CE
2303204,Trabalhadores de Saúde,113,CE
2303303,Faixa Etária,182,CE
2303303,Trabalhadores de Saúde,116,CE
2303402,Faixa Etária,100,CE
2303402,Trabalhadores de Saúde,158,CE
2303600,Faixa Etária,110,CE
2303600,Trabalhadores de Saúde,199,CE
2303659,Faixa Etária,48,CE
2303659,Trabalhadores de Saúde,39,CE
2303709,Faixa Etária,976,CE
2303709,Povos Indígenas,1695,CE
2303709,Trabalhadores de Saúde,2061,CE
2303808,Pessoas de 60 anos ou mais institucionalizadas,131,CE
2303808,Trabalhadores de Saúde,196,CE
2303907,Faixa Etária,96,CE
2303907,Trabalhadores de Saúde,112,CE
2303931,Faixa Etária,112,CE
2303931,Trabalhadores de Saúde,102,CE
2303956,Trabalhadores de Saúde,58,CE
2304004,Faixa Etária,39,CE
2304004,Pessoas de 60 anos ou mais institucionalizadas,83,CE
2304004,Trabalhadores de Saúde,101,CE
2304103,Faixa Etária,1,CE
2304103,Povos Indígenas,1053,CE
2304103,Trabalhadores de Saúde,37,CE
2304202,Faixa Etária,17,CE
2304202,Pessoas de 60 anos ou mais institucionalizadas,55,CE
2304202,Trabalhadores de Saúde,1226,CE
2304236,Faixa Etária,20,CE
2304236,Trabalhadores de Saúde,86,CE
2304251,Faixa Etária,115,CE
2304251,Trabalhadores de Saúde,134,CE
2304269,Faixa Etária,1,CE
2304269,Trabalhadores da Educação,1,CE
2304269,Trabalhadores de Saúde,98,CE
2304277,Faixa Etária,70,CE
2304277,Trabalhadores de Saúde,89,CE
2304285,Faixa Etária,59,CE
2304285,Forças de Segurança e Salvamento,2,CE
2304285,Pessoas com Deficiência,5,CE
2304285,Pessoas de 60 anos ou mais institucionalizadas,92,CE
2304285,Trabalhadores de Saúde,288,CE
2304301,Comorbidades,1,CE
2304301,Faixa Etária,169,CE
2304301,Pessoas de 60 anos ou mais institucionalizadas,20,CE
2304301,Trabalhadores de Saúde,246,CE
2304350,Faixa Etária,114,CE
2304350,Trabalhadores de Saúde,181,CE
2304400,Faixa Etária,5783,CE
2304400,Forças de Segurança e Salvamento,1,CE
2304400,Pessoas de 60 anos ou mais institucionalizadas,1,CE
2304400,Trabalhadores de Saúde,11669,CE
2304400,Trabalhadores Portuários,1,CE
2304509,Faixa Etária,108,CE
2304509,Trabalhadores de Saúde,101,CE
2304608,Trabalhadores de Saúde,8,CE
2304657,Faixa Etária,144,CE
2304657,Trabalhadores de Saúde,94,CE
2304707,Faixa Etária,260,CE
2304707,Trabalhadores de Saúde,321,CE
2304806,Comorbidades,7,CE
2304806,Faixa Etária,30,CE
2304806,Trabalhadores de Saúde,65,CE
2304905,Faixa Etária,83,CE
2304905,Pessoas com Deficiência,4,CE
2304905,Pessoas de 60 anos ou mais institucionalizadas,69,CE
2304905,Trabalhadores de Saúde,101,CE
2304954,Faixa Etária,65,CE
2304954,Trabalhadores de Saúde,151,CE
2305001,Faixa Etária,161,CE
2305001,Pessoas com Deficiência,1,CE
2305001,Pessoas de 60 anos ou mais institucionalizadas,28,CE
2305001,Trabalhadores de Saúde,225,CE
2305209,Faixa Etária,123,CE
2305209,Trabalhadores de Saúde,50,CE
2305233,Faixa Etária,238,CE
2305233,Pessoas de 60 anos ou mais institucionalizadas,45,CE
2305233,Trabalhadores de Saúde,657,CE
2305308,Comorbidades,49,CE
2305308,Faixa Etária,132,CE
2305308,Trabalhadores de Saúde,256,CE
2305332,Faixa Etária,104,CE
2305332,Trabalhadores de Saúde,135,CE
2305357,Faixa Etária,125,CE
2305357,Trabalhadores da Educação,3,CE
2305357,Trabalhadores de Saúde,238,CE
2305407,Trabalhadores de Saúde,63,CE
2305506,Faixa Etária,726,CE
2305506,Trabalhadores de Saúde,1096,CE
2305605,Faixa Etária,264,CE
2305605,Pessoas de 60 anos ou mais institucionalizadas,3,CE
2305605,Trabalhadores de Saúde,267,CE
2305654,Faixa Etária,141,CE
2305654,Trabalhadores de Saúde,170,CE
2305704,Faixa Etária,100,CE
2305704,Trabalhadores de Saúde,94,CE
2305803,Faixa Etária,415,CE
2305803,Trabalhadores de Saúde,268,CE
2305902,Trabalhadores de Saúde,46,CE
2306009,Faixa Etária,131,CE
2306009,Pessoas de 60 anos ou mais institucionalizadas,20,CE
2306009,Trabalhadores de Saúde,206,CE
2306108,Comorbidades,9,CE
2306108,Faixa Etária,122,CE
2306108,Trabalhadores de Saúde,194,CE
2306207,Faixa Etária,49,CE
2306207,Pessoas de 60 anos ou mais institucionalizadas,12,CE
2306207,Trabalhadores de Saúde,77,CE
2306306,Faixa Etária,234,CE
2306306,Trabalhadores de Saúde,207,CE
2306405,Faixa Etária,43,CE
2306405,Povos Indígenas,302,CE
2306405,Trabalhadores de Saúde,678,CE
2306504,Trabalhadores de Saúde,31,CE
2306553,Povos Indígenas,398,CE
2306553,Trabalhadores de Saúde,8,CE
2306603,Trabalhadores de Saúde,97,CE
2306702,Faixa Etária,149,CE
2306702,Trabalhadores de Saúde,247,CE
2306801,Faixa Etária,80,CE
2306801,Trabalhadores de Saúde,98,CE
2306900,Faixa Etária,150,CE
2306900,Pessoas com Deficiência,4,CE
2306900,Pessoas de 60 anos ou mais institucionalizadas,2,CE
2306900,Trabalhadores de Saúde,257,CE
2307106,Faixa Etária,229,CE
2307106,Trabalhadores de Saúde,175,CE
2307205,Trabalhadores de Saúde,46,CE
2307403,Faixa Etária,157,CE
2307403,Trabalhadores de Saúde,136,CE
2307502,Faixa Etária,158,CE
2307502,Pessoas de 60 anos ou mais institucionalizadas,2,CE
2307502,Trabalhadores de Saúde,230,CE
2307601,Comorbidades,20,CE
2307601,Faixa Etária,370,CE
2307601,Pessoas com Deficiência,2,CE
2307601,Pessoas de 60 anos ou mais institucionalizadas,59,CE
2307601,Trabalhadores de Saúde,854,CE
2307635,Faixa Etária,66,CE
2307635,Pessoas com Deficiência,69,CE
2307635,Trabalhadores de Saúde,197,CE
2307650,Faixa Etária,1298,CE
2307650,Pessoas com Deficiência,1,CE
2307650,Pessoas de 60 anos ou mais institucionalizadas,33,CE
2307650,Povos Indígenas,1864,CE
2307650,Trabalhadores de Saúde,1813,CE
2307700,Pessoas de 60 anos ou mais institucionalizadas,74,CE
2307700,Trabalhadores de Saúde,360,CE
2307809,Faixa Etária,169,CE
2307809,Pessoas de 60 anos ou mais institucionalizadas,39,CE
2307809,Trabalhadores de Saúde,144,CE
2307908,Faixa Etária,30,CE
2307908,Trabalhadores de Saúde,24,CE
2308005,Faixa Etária,126,CE
2308005,Trabalhadores de Saúde,3,CE
2308104,Trabalhadores de Saúde,216,CE
2308203,Faixa Etária,122,CE
2308203,Trabalhadores de Saúde,126,CE
2308302,Faixa Etária,223,CE
2308302,Pessoas de 60 anos ou mais institucionalizadas,18,CE
2308302,Trabalhadores de Saúde,230,CE
2308377,Faixa Etária,83,CE
2308377,Pessoas de 60 anos ou mais institucionalizadas,9,CE
2308377,Trabalhadores de Saúde,86,CE
2308500,Faixa Etária,401,CE
2308500,Trabalhadores de Saúde,380,CE
2308609,Faixa Etária,173,CE
2308609,Povos Indígenas,1892,CE
2308609,Trabalhadores de Saúde,209,CE
2308708,Faixa Etária,314,CE
2308708,Trabalhadores de Saúde,333,CE
2308807,Faixa Etária,60,CE
2308807,Trabalhadores de Saúde,85,CE
2308906,Faixa Etária,20,CE
2308906,Trabalhadores de Saúde,6,CE
2309003,Faixa Etária,22,CE
2309003,Trabalhadores de Saúde,156,CE
2309102,Trabalhadores de Saúde,2,CE
2309300,Faixa Etária,70,CE
2309300,Trabalhadores de Saúde,229,CE
2309409,Comorbidades,1,CE
2309409,Faixa Etária,104,CE
2309409,Povos Indígenas,214,CE
2309409,Trabalhadores de Saúde,5,CE
2309508,Faixa Etária,113,CE
2309508,Trabalhadores de Saúde,211,CE
2309607,Trabalhadores de Saúde,1,CE
2309706,Faixa Etária,333,CE
2309706,Povos Indígenas,378,CE
2309706,Trabalhadores de Saúde,561,CE
2309904,Faixa Etária,60,CE
2309904,Trabalhadores de Saúde,59,CE
2310001,Faixa Etária,73,CE
2310001,Trabalhadores de Saúde,46,CE
2310100,Faixa Etária,99,CE
2310100,Trabalhadores de Saúde,111,CE
2310209,Faixa Etária,225,CE
2310209,Trabalhadores de Saúde,242,CE
2310407,Faixa Etária,65,CE
2310407,Trabalhadores de Saúde,94,CE
2310605,Faixa Etária,31,CE
2310605,Trabalhadores de Saúde,73,CE
2310803,Faixa Etária,14,CE
2310803,Trabalhadores de Saúde,72,CE
2310852,Trabalhadores de Saúde,161,CE
2310902,Faixa Etária,171,CE
2310902,Trabalhadores de Saúde,166,CE
2310951,Faixa Etária,121,CE
2310951,Trabalhadores de Saúde,234,CE
2311009,Faixa Etária,118,CE
2311009,Povos Indígenas,540,CE
2311009,Trabalhadores de Saúde,155,CE
2311108,Faixa Etária,133,CE
